,ISO3,year,GDP
6568,LBN,2003,4458.1085803754
6569,LBN,2004,4625.30424673265
6570,LBN,2005,4630.00921353301
6571,LBN,2006,4665.96280134547
6572,LBN,2007,5162.03295880358
6573,LBN,2008,5957.69675411548
6574,LBN,2009,7149.7914980484
6575,LBN,2010,7695.24541457279
6576,LBN,2011,7914.1095681645
6577,LBN,2012,8500.1805629403
6578,LBN,2013,8255.20921055985
6579,LBN,2014,7665.37969186256
6580,LBN,2015,7802.75136769776
6581,LBN,2016,8172.29947599133
6582,LBN,2017,8679.89742212366
6583,LBN,2018,9225.84515486901
6584,LBN,2019,8925.42186017072
6585,LBN,2020,5599.95752260733
6586,LBN,2021,4136.14657516013
6587,LBR,2000,301.87646966176
6588,LBR,2001,303.858805600124
6589,LBR,2002,302.881886846333
6590,LBR,2003,242.449937167219
6591,LBR,2004,287.274691932321
6592,LBR,2005,290.541214909265
6593,LBR,2006,323.841225769427
6594,LBR,2007,377.951628798097
6595,LBR,2008,456.144699881365
6596,LBR,2009,452.745228889857
6597,LBR,2010,497.020365397034
6598,LBR,2011,573.526422156584
6599,LBR,2012,644.455576742833
6600,LBR,2013,717.635753333907
6601,LBR,2014,713.734882389203
6602,LBR,2015,699.662946853965
6603,LBR,2016,722.131226789418
6604,LBR,2017,706.892691974846
6605,LBR,2018,700.037039377706
6606,LBR,2019,665.878447568436
6607,LBR,2020,597.529691893048
6608,LBR,2021,675.66318584916
6609,LBR,2022,754.532842914744
6610,LBY,1990,6821.87401726743
6611,LBY,1991,7368.0328835586
6612,LBY,1992,7623.93196761381
6613,LBY,1993,6745.9256873386
6614,LBY,1994,6164.34127563338
6615,LBY,1995,5396.37507396761
6616,LBY,1996,5785.11375526574
6617,LBY,1997,6262.48946798517
6618,LBY,1998,5471.08689098625
6619,LBY,1999,7112.67161519141
6620,LBY,2000,7424.35347156722
6621,LBY,2001,6465.62220261983
6622,LBY,2002,3789.20526972462
6623,LBY,2003,4738.8284754506
6624,LBY,2004,5823.63794340523
6625,LBY,2005,8108.05260794233
6626,LBY,2006,10060.361041075
6627,LBY,2007,11158.1122737785
6628,LBY,2008,13921.8992346112
6629,LBY,2009,9560.8038078711
6630,LBY,2010,11611.3585954261
6631,LBY,2011,7784.13321371462
6632,LBY,2012,15765.4197906677
6633,LBY,2013,12589.5297148358
6634,LBY,2014,9408.75254634115
6635,LBY,2015,7867.5157311439
6636,LBY,2016,7945.00605015965
6637,LBY,2017,10529.1162687455
6638,LBY,2018,11838.2987072109
6639,LBY,2019,10542.4290201042
6640,LBY,2020,7034.65836433258
6641,LBY,2021,5908.9513231651
6642,LBY,2022,6716.09598462328
6643,LCA,1980,1400.69200274901
6644,LCA,1981,1569.25198689719
6645,LCA,1982,1452.78962021438
6646,LCA,1983,1534.07845715538
6647,LCA,1984,1925.21708311182
6648,LCA,1985,2142.69153862829
6649,LCA,1986,2522.06809583859
6650,LCA,1987,2745.69056554727
6651,LCA,1988,3098.43956173107
6652,LCA,1989,3464.88011752114
6653,LCA,1990,4073.26462659876
6654,LCA,1991,4253.91426860914
6655,LCA,1992,4603.70218599969
6656,LCA,1993,4608.5993123242
6657,LCA,1994,4740.29598437646
6658,LCA,1995,5008.02743037626
6659,LCA,1996,5123.68651409627
6660,LCA,1997,5184.33701240191
6661,LCA,1998,5593.74841355014
6662,LCA,1999,5825.06730772831
6663,LCA,2000,5846.97550214791
6664,LCA,2001,5558.06937116326
6665,LCA,2002,5562.45712272635
6666,LCA,2003,6055.96795652424
6667,LCA,2004,6494.60034867886
6668,LCA,2005,6866.09238723686
6669,LCA,2006,7618.90541950613
6670,LCA,2007,7975.79254059155
6671,LCA,2008,8528.68208470429
6672,LCA,2009,8259.32233799025
6673,LCA,2010,8672.21566785729
6674,LCA,2011,9110.75181022028
6675,LCA,2012,9231.57625405725
6676,LCA,2013,9542.71357425779
6677,LCA,2014,10007.1445097875
6678,LCA,2015,10290.3715682224
6679,LCA,2016,10574.3865772889
6680,LCA,2017,11270.4747103578
6681,LCA,2018,11563.8304251364
6682,LCA,2019,11773.4274818992
6683,LCA,2020,8951.52476578187
6684,LCA,2021,10916.2270797887
6685,LCA,2022,13030.9284804245
6686,LCN,1989,2324.64155565496
6687,LCN,1990,2670.51600624498
6688,LCN,1991,2789.40771349045
6689,LCN,1992,2972.15720845284
6690,LCN,1993,3446.97781435099
6691,LCN,1994,3828.91811244129
6692,LCN,1995,4025.55780227367
6693,LCN,1996,4285.04501358823
