,ISO3,year,ndvi
59,GTM,1995,0.7628328018188476
59,GTM,1996,0.7691945343017577
59,GTM,1997,0.7621272583007813
59,GTM,1998,0.752044776916504
59,GTM,1999,0.743209159851074
59,GTM,2000,0.7637776947021482
59,GTM,2001,0.7623534774780274
59,GTM,2002,0.7579107971191408
59,GTM,2003,0.7659179611206055
59,GTM,2004,0.7679089202880859
59,GTM,2005,0.7696130752563477
59,GTM,2006,0.7712274169921876
59,GTM,2007,0.7681905212402343
59,GTM,2008,0.7646894912719726
59,GTM,2009,0.7607042465209963
59,GTM,2010,0.7623749771118163
59,GTM,2011,0.7691161422729494
59,GTM,2012,0.7672579345703125
59,GTM,2013,0.7698473129272461
59,GTM,2014,0.7594164886474609
59,GTM,2015,0.7620528106689453
59,GTM,2016,0.7666593627929689
59,GTM,2017,0.773617660522461
59,GTM,2018,0.76208536529541
59,GTM,2019,0.7619893798828123
59,GTM,2020,0.7770556564331055
59,GTM,2021,0.7743333969116212
59,GTM,2022,0.7729854888916013
49,GUF,1982,0.8138275375366211
49,GUF,1983,0.8198226470947265
49,GUF,1984,0.8189612426757814
49,GUF,1985,0.8275600509643555
49,GUF,1986,0.8292138595581054
49,GUF,1987,0.8287994918823243
49,GUF,1988,0.8284920043945314
49,GUF,1989,0.8305181884765622
49,GUF,1990,0.8264388732910156
49,GUF,1991,0.8064225540161133
49,GUF,1992,0.8199474334716796
49,GUF,1993,0.824853012084961
49,GUF,1994,0.8230913467407229
49,GUF,1995,0.8235873489379885
49,GUF,1996,0.8256486968994142
49,GUF,1997,0.8271091003417971
49,GUF,1998,0.825206039428711
49,GUF,1999,0.8269920959472657
49,GUF,2000,0.8356787185668947
49,GUF,2001,0.82815234375
49,GUF,2002,0.8285150299072268
49,GUF,2003,0.8221867446899414
49,GUF,2004,0.8242292098999026
49,GUF,2005,0.821541130065918
49,GUF,2006,0.8228089447021485
49,GUF,2007,0.8215315856933593
49,GUF,2008,0.8245122604370118
