,ISO3,year,Drought,Heat wave,Wildfire,Flood
655,AZE,1965,0,0,0,0
656,AZE,1966,0,0,0,0
657,AZE,1967,0,0,0,0
658,AZE,1968,0,0,0,0
659,AZE,1969,0,0,0,0
660,AZE,1970,0,0,0,0
661,AZE,1971,0,0,0,0
662,AZE,1972,0,0,0,0
663,AZE,1973,0,0,0,0
664,AZE,1974,0,0,0,0
665,AZE,1975,0,0,0,0
666,AZE,1976,0,0,0,0
667,AZE,1977,0,0,0,0
668,AZE,1978,0,0,0,0
669,AZE,1979,0,0,0,0
670,AZE,1980,0,0,0,0
671,AZE,1981,0,0,0,0
672,AZE,1982,0,0,0,0
673,AZE,1983,0,0,0,0
674,AZE,1984,0,0,0,0
675,AZE,1985,0,0,0,0
676,AZE,1986,0,0,0,0
677,AZE,1987,0,0,0,0
678,AZE,1988,0,0,0,0
679,AZE,1989,0,0,0,0
680,AZE,1990,0,0,0,0
681,AZE,1991,0,0,0,0
682,AZE,1992,0,0,0,0
683,AZE,1993,0,0,0,0
684,AZE,1994,0,0,0,0
685,AZE,1995,0,0,0,1
686,AZE,1996,0,0,0,0
687,AZE,1997,0,0,0,1
688,AZE,1998,0,0,0,0
689,AZE,1999,0,0,0,0
690,AZE,2000,1,0,0,0
691,AZE,2001,0,0,0,0
692,AZE,2002,0,0,0,0
693,AZE,2003,0,0,0,1
694,AZE,2004,0,0,0,0
695,AZE,2005,0,0,0,0
696,AZE,2006,0,0,0,0
697,AZE,2007,0,0,0,0
698,AZE,2008,0,0,0,0
699,AZE,2009,0,0,0,1
700,AZE,2010,0,0,0,1
701,AZE,2011,0,0,0,0
702,AZE,2012,0,0,0,0
703,AZE,2013,0,0,0,0
704,AZE,2014,0,0,0,0
705,AZE,2015,0,0,0,0
706,AZE,2016,0,0,0,0
707,AZE,2017,0,0,0,0
708,AZE,2018,0,0,0,0
709,AZE,2019,0,0,0,0
710,AZE,2020,0,0,0,0
711,AZE,2021,0,0,0,0
712,AZE,2022,0,0,0,0
713,AZE,2023,0,0,0,0
714,AZE,2024,0,0,0,0
715,BDI,1960,0,0,0,0
716,BDI,1961,0,0,0,0
717,BDI,1962,0,0,0,0
718,BDI,1963,0,0,0,0
719,BDI,1964,0,0,0,0
720,BDI,1965,0,0,0,0
721,BDI,1966,0,0,0,0
722,BDI,1967,0,0,0,0
723,BDI,1968,0,0,0,0
724,BDI,1969,0,0,0,0
725,BDI,1970,0,0,0,0
726,BDI,1971,0,0,0,0
727,BDI,1972,0,0,0,0
728,BDI,1973,0,0,0,0
729,BDI,1974,0,0,0,0
730,BDI,1975,0,0,0,0
731,BDI,1976,0,0,0,0
732,BDI,1977,0,0,0,0
733,BDI,1978,0,0,0,0
734,BDI,1979,0,0,0,0
735,BDI,1980,0,0,0,0
736,BDI,1981,0,0,0,0
737,BDI,1982,0,0,0,0
738,BDI,1983,0,0,0,0
739,BDI,1984,0,0,0,0
740,BDI,1985,0,0,0,0
741,BDI,1986,0,0,0,0
742,BDI,1987,0,0,0,0
743,BDI,1988,0,0,0,0
744,BDI,1989,0,0,0,1
745,BDI,1990,0,0,0,0
746,BDI,1991,0,0,0,0
747,BDI,1992,0,0,0,0
748,BDI,1993,0,0,0,0
749,BDI,1994,0,0,0,0
750,BDI,1995,0,0,0,0
751,BDI,1996,0,0,0,0
752,BDI,1997,0,0,0,0
753,BDI,1998,0,0,0,0
754,BDI,1999,1,0,0,0
755,BDI,2000,0,0,0,1
756,BDI,2001,0,0,0,0
757,BDI,2002,0,0,0,1
758,BDI,2003,1,0,0,0
759,BDI,2004,0,0,0,1
760,BDI,2005,1,0,0,1
761,BDI,2006,0,0,0,1
762,BDI,2007,0,0,0,1
763,BDI,2008,1,0,0,1
764,BDI,2009,1,0,0,1
765,BDI,2010,1,0,0,1
766,BDI,2011,0,0,0,1
767,BDI,2012,0,0,0,0
768,BDI,2013,0,0,0,0
769,BDI,2014,0,0,0,1
770,BDI,2015,0,0,0,1
771,BDI,2016,0,0,0,0
772,BDI,2017,0,0,0,0
773,BDI,2018,0,0,0,1
774,BDI,2019,0,0,0,1
775,BDI,2020,0,0,0,1
776,BDI,2021,0,0,0,1
777,BDI,2022,0,0,0,0
778,BDI,2023,0,0,0,1
779,BDI,2024,0,0,0,1
780,BEL,1960,0,0,0,0
781,BEL,1961,0,0,0,0
782,BEL,1962,0,0,0,0
783,BEL,1963,0,0,0,0
784,BEL,1964,0,0,0,0
785,BEL,1965,0,0,0,0
786,BEL,1966,0,0,0,0
787,BEL,1967,0,0,0,0
788,BEL,1968,0,0,0,0
789,BEL,1969,0,0,0,0
790,BEL,1970,0,0,0,0
791,BEL,1971,0,0,0,1
792,BEL,1972,0,0,0,0
793,BEL,1973,0,0,0,0
794,BEL,1974,0,0,0,0
795,BEL,1975,0,0,0,0
796,BEL,1976,1,0,0,0
797,BEL,1977,0,0,0,0
798,BEL,1978,0,0,0,0
799,BEL,1979,0,0,0,0
800,BEL,1980,0,0,0,0
801,BEL,1981,0,0,0,0
802,BEL,1982,0,0,0,0
803,BEL,1983,0,0,0,0
804,BEL,1984,0,0,0,0
805,BEL,1985,0,0,0,0
806,BEL,1986,0,0,0,0
807,BEL,1987,0,0,0,0
808,BEL,1988,0,0,0,0
809,BEL,1989,0,0,0,0
810,BEL,1990,0,0,0,0
811,BEL,1991,0,0,0,0
812,BEL,1992,0,0,0,0
